domain,category,other_category,company_size,email_provider,website,confidence
hrops.co.uk,Professional Services,Human Resources Consultancy,1 to 5,No,unreachable,40
dudscuapcut.store,E-commerce and Retail,,solo,No,unreachable,10
gmail.com,Technology and Software Development,,500+,Yes,little_info,100
prohade.com,Professional Services,,1 to 5,No,unreachable,40
dcpa.net,Technology and Software Development,,solo,Yes,much_info,95
freesourcecodes.com,Technology and Software Development,,solo,Yes,little_info,75
bbsdigitaltrust.site,Logistics and Transportation,Travel Agency,solo,No,much_info,80
111.com,E-commerce and Retail,,50 to 100,No,much_info,95
tangilex.com,Technology and Software Development,,1 to 5,No,unreachable,60
dyqbmail.com,Technology and Software Development,,solo,No,unreachable,70
mozmail.com,Technology and Software Development,,500+,No,much_info,95
passmail.net,Technology and Software Development,,500+,No,much_info,95
e-record.com,Technology and Software Development,,solo,Yes,little_info,70
itca.com,Professional Services,,50 to 100,No,much_info,95
dark.house,Technology and Software Development,,1 to 5,No,unreachable,50
passgeber.de,Technology and Software Development,,5 to 20,No,much_info,95
optimumexpo.com,Other,Event Management,solo,No,no_info,40
cybersol360.com,Technology and Software Development,,5 to 20,No,much_info,95
xperts-global.com,Professional Services,,50 to 100,No,much_info,95
ct-glob.com,Professional Services,,1 to 5,No,unreachable,30
fury.nu,Technology and Software Development,,solo,No,little_info,40
ckstaffingaustralia.com,Professional Services,,5 to 20,No,unreachable,70
creedy.shop,Other,Domain Parking,solo,No,no_info,95
aliyasrealestate.ae,Real Estate and Property Management,,1 to 5,No,unreachable,70
hawkfusion.com,Professional Services,,1 to 5,No,much_info,95
weshare.pro,E-commerce and Retail,Travel Agency,5 to 20,No,much_info,95
intrface.co.uk,Technology and Software Development,,5 to 20,No,much_info,95
lleumeria.com,Other,,solo,No,unreachable,0
evrasolutions.com,Professional Services,,5 to 20,No,much_info,95
augustaitservices.com,Technology and Software Development,,100 to 200,No,much_info,95
thegrowbusiness.in,Marketing and Advertising,,5 to 20,No,much_info,95
wesellrandomshit.com,E-commerce and Retail,,solo,No,unreachable,95
howshelby.com,Technology and Software Development,,1 to 5,No,unreachable,80
adeccoeu.com,Professional Services,,500+,No,little_info,60
waveitaly.com,Manufacturing and Industrial,,5 to 20,No,much_info,95
abdi-shop.com,E-commerce and Retail,,solo,No,unreachable,10
mountainmolecules.com,E-commerce and Retail,,20 to 50,No,much_info,95
forgemedia.online,Marketing and Advertising,,1 to 5,No,unreachable,50
finplexsolution.com,Professional Services,,50 to 100,No,much_info,95
bilgiedu.net,Education and e-learning,,1 to 5,No,unreachable,60
elmridgecarpentry.com,Professional Services,,5 to 20,No,much_info,95
noormohamed.net,Other,Personal Blog,solo,No,much_info,95
treppantechnologies.com,Technology and Software Development,,5 to 20,No,much_info,95
amwa.pro,Technology and Software Development,,50 to 100,No,much_info,95
urbantouchinterior.com,Other,Interior Design,solo,No,no_info,50
kozmaandkozma.com,Other,Beauty and Personal Care Services,5 to 20,No,much_info,95
vistancecapital.com,Professional Services,,5 to 20,No,much_info,95
infinitesolutionedu.com,Education and e-learning,,1 to 5,No,little_info,70
metakraft.org,Technology and Software Development,,50 to 100,No,unreachable,20
webnetictrendz.com,Technology and Software Development,,1 to 5,No,much_info,95
digitalmastermedia.com,Professional Services,Lead Generation for Legal and Insurance Sectors,5 to 20,No,much_info,95
edbrig.com,Technology and Software Development,,5 to 20,No,unreachable,60
abinjose.com,Professional Services,,solo,No,much_info,95
upcounting.com,Professional Services,,20 to 50,No,much_info,95
afterpeak.io,Other,Entertainment,20 to 50,No,much_info,95
nexlinx1123231.com,Technology and Software Development,,1 to 5,No,much_info,95
spro01.com,Technology and Software Development,,solo,No,no_info,50
craftions.io,Technology and Software Development,,solo,No,little_info,50
antonio.dk,Professional Services,,solo,No,unreachable,50
mercandosolutions.ch,Technology and Software Development,,solo,No,little_info,50
milologic.com,Technology and Software Development,,50 to 100,No,much_info,95
tuite.io,Technology and Software Development,,1 to 5,No,unreachable,50
zentoramgmt.com,Professional Services,,1 to 5,No,little_info,60
3nity.group,Other,Non-profit,5 to 20,No,much_info,95
jadoinvestments.com,Financial Service,,1 to 5,No,little_info,60
nn-aviation.com,Manufacturing and Industrial,,5 to 20,No,much_info,95
reisertconsulting.com,Professional Services,,1 to 5,No,much_info,95
atmtanks.com.au,Manufacturing and Industrial,,50 to 100,No,much_info,95
bennieadam.com,E-commerce and Retail,,1 to 5,No,much_info,95
cbasites.com,Technology and Software Development,,1 to 5,No,much_info,95
cressio.com,Professional Services,,5 to 20,No,much_info,95
cstny.org,Other,Non-profit,20 to 50,No,little_info,75
designdrop.pro,Marketing and Advertising,,1 to 5,No,much_info,95
dialphone.ai,Technology and Software Development,,1 to 5,No,much_info,95
finewineoffers.org,E-commerce and Retail,,1 to 5,No,little_info,70
flyangelo.com,Professional Services,,solo,No,little_info,60
g-mee.com,E-commerce and Retail,,5 to 20,No,much_info,95
grovegallery.com,E-commerce and Retail,,5 to 20,No,much_info,95
infosoftsolutionsltd.com,Technology and Software Development,,50 to 100,No,much_info,95
juliusdein.com,Other,Entertainment,solo,No,much_info,95
knighttransinc.com,Logistics and Transportation,,20 to 50,No,unreachable,75
nuvetrainc.com,Other,Domain Registrar/Hosting,solo,No,no_info,100
reaglobal.com.au,Manufacturing and Industrial,,20 to 50,No,much_info,95
rockyexteriors.com,Professional Services,Event Services,1 to 5,No,much_info,95
sacredtaste.com,E-commerce and Retail,,1 to 5,No,much_info,95
sixfour3.com,Other,Sports Training and Facilities,1 to 5,No,much_info,95
snapplify.com,Education and e-learning,,50 to 100,No,much_info,95
specfx.com,Technology and Software Development,,1 to 5,No,unreachable,95
sutterlinsolutions.ch,Professional Services,,1 to 5,No,unreachable,100
takethetaking.com,Financial Service,,1 to 5,No,much_info,95
techdots.dev,Technology and Software Development,,50 to 100,No,much_info,95
kraster.business,Technology and Software Development,,1 to 5,No,unreachable,50
ldlvlimited.com,Professional Services,,1 to 5,No,unreachable,20
homeruninvesting.com,Real Estate and Property Management,,1 to 5,No,much_info,95
fairlight-capital.com,Financial Service,,5 to 20,No,much_info,95
freyr.com.au,Professional Services,Regulatory Affairs and Consulting,50 to 100,No,unreachable,95
getbackpay.com,Financial Service,,50 to 100,No,unreachable,50
musikskolanstockholm.se,Education and e-learning,,1 to 5,No,much_info,95
re-dry.com,Manufacturing and Industrial,,1 to 5,No,little_info,75
thailandblueprint.com,Professional Services,Visa and Relocation Services,1 to 5,No,much_info,95
kodopacific.com,Professional Services,,1 to 5,No,much_info,95
setupfx.com,Technology and Software Development,,50 to 100,No,much_info,95
medisale.be,Healthcare,,50 to 100,No,much_info,95
apexme.com,Professional Services,,5 to 20,No,unreachable,50
admstudios.at,Marketing and Advertising,,1 to 5,No,much_info,95
creatify.solutions,Marketing and Advertising,,1 to 5,No,much_info,95
ibtpan.ba,Professional Services,,50 to 100,No,much_info,95
ondemandint.com,Professional Services,Business Formation and Legal Services,20 to 50,No,much_info,95
efl.global,Logistics and Transportation,,500+,No,much_info,95
procall.hr,Professional Services,,200 to 500,No,much_info,95
b2bwizards.io,Professional Services,,1 to 5,No,much_info,95
cellerose.com,Other,Domain Registrar/Hosting,500+,No,little_info,60
chinh.store,Other,Author/Personal Branding,solo,No,much_info,95
10xbulls.com,Financial Service,,5 to 20,No,unreachable,40
4starventure.com,E-commerce and Retail,,solo,No,little_info,60
accplumbing.net,Professional Services,,1 to 5,No,unreachable,50
acristoengine.com,Real Estate and Property Management,,solo,No,little_info,60
admedius.com,Marketing and Advertising,,50 to 100,No,much_info,95
advancedpsychologyinstitute.com,Healthcare,,1 to 5,No,much_info,95
agentwizardry.com,Marketing and Advertising,,1 to 5,No,much_info,95
aifactoryhk.com,Technology and Software Development,,5 to 20,No,much_info,95
alloraprojects.com.au,Professional Services,,5 to 20,No,much_info,95
alphamax.pro,Financial Service,,solo,No,little_info,65
amca.work,Professional Services,,1 to 5,No,little_info,75
amurglobal.com,Marketing and Advertising,,5 to 20,No,much_info,95
andromarkets.com,Financial Service,,20 to 50,No,much_info,95
anythingcomestomind.com,Technology and Software Development,,solo,No,much_info,95
apetrosyan.net,Technology and Software Development,,solo,No,unreachable,50
apparelinus.com,Other,,solo,No,unreachable,10
ark2construct.com,Professional Services,,5 to 20,No,much_info,95
