domain,category,other_industry_category,company_size,email_provider,website,confidence
freesourcecodes.com,Technology and software development,,20-May,No,much_info,85
wsu.university,Education and e-learning,,500+,No,much_info,95
joinkula.io,Technology and software development,,200-500,No,much_info,95
leadsolympia.com,Marketing and advertising,,20-50,No,much_info,95
chcnetwork.org,Healthcare,,100-200,No,much_info,95
techgropse.com,Technology and software development,,200-500,No,much_info,95
teknobit.com,Technology and software development,,50-100,No,much_info,95
futurebytesolutionsinc.com,Technology and software development,,20-May,No,much_info,95
vernonfroneman.com,Technology and software development,,solo,No,much_info,95
lynchgroup.co,Technology and software development,,20-50,No,much_info,90
seedify.fund,Technology and software development,,100-200,No,much_info,95
ygrene.vip,Financial Service,,200-500,No,much_info,95
niyousllc.com,Technology and software development,,20-50,No,much_info,95
australandagri.com.au,Other,Agribusiness Research and Consulting,solo,No,much_info,95
passmail.net,Technology and software development,,20-50,Yes,much_info,85
solvpath.com,Technology and software development,,20-50,No,much_info,95
allpara.com,Technology and software development,,20-50,No,much_info,95
somakanti.com,Technology and software development,,20-50,No,much_info,95
hslu.ch,Education and e-learning,,500+,No,much_info,95
oxmtalent.com,Other,Talent Acquisition,20-50,No,much_info,95
outsourceaccelerator.com,Other,Business Consulting and BPO Services,20-50,No,much_info,95
numberscraft.com,Technology and software development,,20-50,No,much_info,95
demetergroup.io,Financial Service,,20-May,No,much_info,95
pm.me,Technology and software development,,500+,Yes,much_info,95
malobicky.com,Technology and software development,,solo,No,much_info,95
serenity21.com,Technology and software development,,20-50,No,much_info,95
olympiathelabel.com,E-commerce and retail,,20-May,No,much_info,95
adpatients.co,Marketing and advertising,,20-50,No,much_info,95
milakampen.be,Technology and software development,,solo,No,much_info,95
gsconsulting.in,Technology and software development,,20-50,No,much_info,80
times.my,Other,Media and Publishing,500+,No,no_info,95
thecohsalon.com,Other,Beauty Services,20-May,No,much_info,95
suvitt.com,Technology and software development,,20-50,No,much_info,95
myequitysolar.com,Technology and software development,,20-50,No,much_info,80
glowifyleads.com,Technology and software development,,20-50,No,much_info,80
qtechnetworks.com,Technology and software development,,20-50,No,much_info,95
executive-engineers.com,Technology and software development,,20-50,No,much_info,95
alfadhel.net,Technology and software development,,20-50,No,much_info,95
mynachiketa.com,Technology and software development,,solo,No,much_info,85
rpoarena.com,Other,HR Consulting,1-5 employees,No,much_info,95
entrusted.company,Technology and software development,,20-50,No,much_info,95
rfpease.org,Other,Non-profit / Philanthropic,1-5 employees,No,much_info,95
metrichub.ai,Technology and software development,,1-5 employees,No,much_info,95
tutamail.com,Technology and software development,,20-50,No,much_info,80
arrowsolarsolutions.au,Other,Renewable Energy Services,20-50,No,much_info,95
satsportnews.com,Other,Sports Media / Online Gambling Information,20-50,No,much_info,85
boatsy.com,E-commerce and retail,,20-50,No,much_info,92
haelanenergy.com,Technology and software development,,20-50,No,much_info,95
localhost.international,Technology and software development,,20-50,No,much_info,80
capitalkonect.co.uk,Financial Service,,20-50,No,much_info,95
unitedwecan.com.au,Healthcare,,20-May,No,much_info,95
umich.edu,Education and e-learning,,500+,No,much_info,98
firebrickpharma.com,Healthcare,,20-50,No,much_info,95
hi2.in,Technology and software development,,20-May,No,much_info,85
onebusiness.com,Technology and software development,,20-May,No,much_info,92
managementc.net,Other,Management Consulting,20-May,No,much_info,95
galapagostrading.com,Technology and software development,,20-50,No,much_info,95
qbim.co.in,Technology and software development,,20-50,No,much_info,90
softment.in,Technology and software development,,20-50,No,much_info,95
alekseyboyko.com,Technology and software development,,solo,No,much_info,95
gauermodules.com,Manufacturing and industrial,,20-50,No,much_info,95
kommuniquelearning.com,Education and e-learning,,20-50,No,much_info,95
cornell.edu,Education and e-learning,,500+,No,much_info,95
selcedu.com,Education and e-learning,,100-200,No,much_info,95
infinitysoftsystems.com,Technology and software development,,20-50,No,much_info,95
snapi.com,Technology and software development,,20-May,No,much_info,95
bluehiresolutions.com,Other,Staffing Services,20-May,No,much_info,90
inlogic.in,Technology and software development,,20-50,No,much_info,95
withtwine.com,Technology and software development,,100-200,No,much_info,95
corpswing.co.uk,Financial Service,,20-50,No,much_info,95
salesforce.com,Technology and software development,,500+,No,much_info,98
vaultmotion.com,Technology and software development,,20-May,No,much_info,95
triomedia.io,Marketing and advertising,,20-50,No,much_info,95
droneworld.co.za,Technology and software development,,50-100,No,much_info,92
bluenetmarketing.com,Marketing and advertising,,20-50,No,much_info,90
dreamholidays.llc,Other,Travel Agency,20-May,No,much_info,85
ventra.com.sg,Technology and software development,,50-100,No,much_info,90
energnature.com,Other,Renewable Energy,20-50,No,much_info,85
trevalocreatives.site,Marketing and advertising,,20-May,No,much_info,80
boostchannel.in,Technology and software development,,20-50,No,much_info,95
dimepiecedynasty.com,E-commerce and retail,,1-5 employees,No,much_info,95
bahamagolfuniversity.com,Education and e-learning,,20-May,No,much_info,90
lochharbour.org,Other,Government Contracting,20-50,No,much_info,95
webliteseo.com,Technology and software development,,20-50,No,much_info,80
techsysweb.com,Technology and software development,,20-50,No,much_info,95
fluid.ai,Technology and software development,,50-100,No,much_info,95
ondemandint.com,Technology and software development,,20-50,No,much_info,95
xebo.ai,Technology and software development,,20-May,No,much_info,95
orbis-it.com,Technology and software development,,20-50,No,much_info,80
