country,domain,category,company_size,email_provider,confidence,other_industry_category,website,website_status,website_reason
United States,freesourcecodes.com,Technology and Software Development,Unknown,Yes,95,N/A,much_info,reachable,200
India,wsu.university,Education and e-learning,Unknown,No,95,N/A,much_info,reachable,200
United Kingdom,joinkula.io,Technology and Software Development,100 to 200,No,95,N/A,unreachable,unreachable,403
United States,leadsolympia.com,Marketing and Advertising,Unknown,No,95,N/A,much_info,reachable,200
United States,chcnetwork.org,Healthcare,500+,No,95,N/A,much_info,reachable,200
India,techgropse.com,Technology and Software Development,500+,No,95,N/A,much_info,reachable,200
United States,teknobit.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
India,futurebytesolutionsinc.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
South Africa,vernonfroneman.com,Professional Services,solo,No,95,N/A,much_info,reachable,200
United States,lynchgroup.co,Logistics and Transportation,Unknown,No,95,N/A,much_info,reachable,200
United States,seedify.fund,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
United States,ygrene.vip,Financial Service,Unknown,No,95,N/A,much_info,reachable,200
United States,niyousllc.com,Other,Unknown,No,20,General Business Services,unreachable,unreachable,403
Australia,australandagri.com.au,Other,Unknown,No,95,Agricultural Supply,much_info,reachable,200
Canada,passmail.net,Technology and Software Development,500+,No,95,N/A,much_info,reachable,200
United States,solvpath.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
Armenia,allpara.com,E-commerce and Retail,Unknown,No,95,N/A,much_info,reachable,200
India,somakanti.com,E-commerce and Retail,Unknown,No,95,N/A,much_info,reachable,200
Spain,hslu.ch,Education and e-learning,500+,No,95,N/A,much_info,reachable,200
United States,oxmtalent.com,Professional Services,20 to 50,No,90,N/A,unreachable,unreachable,404
Philippines,outsourceaccelerator.com,Other,Unknown,No,95,Outsourcing Marketplace and Advisory,much_info,reachable,200
India,numberscraft.com,Financial Service,Unknown,No,95,N/A,much_info,reachable,200
Viet Nam,demetergroup.io,Financial Service,Unknown,No,90,N/A,unreachable,unreachable,Connection Error
United States,pm.me,Technology and Software Development,Unknown,Yes,95,N/A,much_info,reachable,200
United States,malobicky.com,Other,Unknown,No,45,Inactive Domain,unreachable,unreachable,Exceeded 30 redirects.
Portugal,serenity21.com,Financial Service,Unknown,No,95,N/A,much_info,reachable,200
New Zealand,olympiathelabel.com,E-commerce and Retail,Unknown,No,95,N/A,much_info,reachable,200
United States,adpatients.co,Marketing and Advertising,Unknown,No,95,N/A,little_info,reachable,200
Belgium,milakampen.be,Education and e-learning,Unknown,No,95,N/A,much_info,reachable,200
India,gsconsulting.in,Professional Services,Unknown,No,95,N/A,much_info,reachable,200
India,times.my,Marketing and Advertising,Unknown,No,95,N/A,much_info,reachable,200
United States,thecohsalon.com,Other,Unknown,No,95,Hair Salon,much_info,reachable,200
India,suvitt.com,Technology and Software Development,Unknown,No,80,N/A,unreachable,unreachable,Connection Error
United States,myequitysolar.com,Other,Unknown,No,95,Solar Energy Installation,much_info,reachable,200
South Africa,glowifyleads.com,Marketing and Advertising,Unknown,No,75,N/A,no_info,reachable,200
Jordan,qtechnetworks.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
Germany,executive-engineers.com,Professional Services,Unknown,No,95,N/A,much_info,reachable,200
United States,alfadhel.net,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
India,mynachiketa.com,Education and e-learning,Unknown,No,95,N/A,much_info,reachable,200
India,rpoarena.com,Professional Services,Unknown,No,95,N/A,much_info,reachable,200
France,entrusted.company,Other,Unknown,No,10,N/A,unreachable,unreachable,Connection Error
India,rfpease.org,Education and e-learning,50 to 100,No,90,N/A,no_info,reachable,200
India,metrichub.ai,Technology and Software Development,Unknown,No,90,N/A,unreachable,unreachable,Connection Error
Brazil,tutamail.com,Technology and Software Development,Unknown,Yes,95,N/A,much_info,reachable,200
India,arrowsolarsolutions.au,Other,Unknown,No,88,Solar Installation Services,little_info,reachable,200
India,satsportnews.com,Other,Unknown,No,95,Media and Publishing,much_info,reachable,200
United Kingdom,boatsy.com,Other,Unknown,No,95,Travel and Tourism,much_info,reachable,200
United States,haelanenergy.com,Other,Unknown,No,75,Oil and Gas Exploration and Production,unreachable,unreachable,Connection Error
United Kingdom,localhost.international,Technology and Software Development,Unknown,No,75,N/A,little_info,reachable,200
India,capitalkonect.co.uk,Financial Service,Unknown,No,95,N/A,much_info,reachable,200
Australia,unitedwecan.com.au,Healthcare,Unknown,No,95,N/A,much_info,reachable,200
United States,umich.edu,Education and e-learning,500+,No,95,N/A,unreachable,unreachable,403
Australia,firebrickpharma.com,Healthcare,20 to 50,No,95,N/A,much_info,reachable,200
United States,hi2.in,Technology and Software Development,Unknown,Yes,95,N/A,much_info,reachable,200
United States,onebusiness.com,Technology and Software Development,1 to 5,No,90,N/A,no_info,reachable,200
United States,managementc.net,Financial Service,Unknown,No,95,N/A,much_info,reachable,200
United States,galapagostrading.com,Other,Unknown,No,95,Global Trading and Logistics,much_info,reachable,200
India,qbim.co.in,Other,Unknown,No,95,Placeholder Site / Under Development,no_info,reachable,200
India,softment.in,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
Ukraine,alekseyboyko.com,Technology and Software Development,solo,No,85,N/A,unreachable,unreachable,Connection Error
United States,gauermodules.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
India,kommuniquelearning.com,Professional Services,Unknown,No,95,N/A,much_info,reachable,200
United States,cornell.edu,Education and e-learning,500+,No,98,N/A,much_info,reachable,200
United States,selcedu.com,Education and e-learning,Unknown,No,95,N/A,much_info,reachable,200
India,infinitysoftsystems.com,Technology and Software Development,200 to 500,No,98,N/A,much_info,reachable,200
United States,snapi.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
India,bluehiresolutions.com,Professional Services,Unknown,No,95,N/A,much_info,reachable,200
India,inlogic.in,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
Ukraine,withtwine.com,Technology and Software Development,20 to 50,No,95,N/A,unreachable,unreachable,Connection Error
India,corpswing.co.uk,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
India,salesforce.com,Technology and Software Development,500+,No,95,N/A,unreachable,unreachable,403
India,vaultmotion.com,Technology and Software Development,1 to 5,No,95,N/A,unreachable,unreachable,Connection Error
India,triomedia.io,Marketing and Advertising,Unknown,No,95,N/A,much_info,reachable,200
South Africa,droneworld.co.za,E-commerce and Retail,Unknown,No,85,N/A,unreachable,unreachable,SSL Error
India,bluenetmarketing.com,Marketing and Advertising,Unknown,No,95,N/A,much_info,reachable,200
United Arab Emirates,dreamholidays.llc,Other,Unknown,No,95,Travel Agency,much_info,reachable,200
Philippines,ventra.com.sg,Manufacturing and Industrial,50 to 100,No,95,N/A,unreachable,unreachable,403
Moldova,energnature.com,Manufacturing and Industrial,Unknown,No,80,N/A,unreachable,unreachable,404
India,trevalocreatives.site,Other,Unknown,No,10,Unidentified Business,unreachable,unreachable,409
India,boostchannel.in,Other,Unknown,No,95,Parked Domain / No Active Business,no_info,reachable,200
Australia,dimepiecedynasty.com,Marketing and Advertising,Unknown,No,95,N/A,much_info,reachable,200
United States,bahamagolfuniversity.com,Education and e-learning,Unknown,No,80,N/A,unreachable,unreachable,Connection Error
United States,lochharbour.org,Other,Unknown,No,90,Non-profit (Community Association),unreachable,unreachable,Connection Error
United States,webliteseo.com,Marketing and Advertising,Unknown,No,95,N/A,much_info,reachable,200
India,techsysweb.com,Marketing and Advertising,Unknown,No,95,N/A,much_info,reachable,200
India,fluid.ai,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
India,ondemandint.com,Professional Services,Unknown,No,95,N/A,much_info,reachable,200
India,xebo.ai,Technology and Software Development,200 to 500,No,95,N/A,much_info,reachable,200
United States,orbis-it.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
Indonesia,lifewood.com,Technology and Software Development,500+,No,95,N/A,much_info,reachable,200
India,getaltos.com,Technology and Software Development,Unknown,No,90,N/A,much_info,reachable,200
India,b2bwizards.io,Marketing and Advertising,Unknown,No,95,N/A,much_info,reachable,200
India,cxm.com,Financial Service,Unknown,No,95,N/A,much_info,reachable,200
France,pluslogisticsltd.com,Logistics and Transportation,1 to 5,No,75,N/A,unreachable,unreachable,Connection Error
Germany,sciengines.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
Netherlands,beaconhousetechnology.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
India,growmaxai.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
Hungary,smartago.net,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
Australia,alchemybreathwork.com.au,Other,1 to 5,No,95,Wellness Services,unreachable,unreachable,Connection Error
India,webnetictrendz.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
India,localtravelsguide.com,Other,Unknown,No,30,Travel Agency,unreachable,unreachable,409
United States,rockyexteriors.com,Other,Unknown,No,95,Construction and Property Maintenance,much_info,reachable,200
Australia,quantumcontractsolutions.com,Professional Services,Unknown,No,95,N/A,much_info,reachable,200
India,designbrains.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
India,proteomics.com.au,Healthcare,Unknown,No,95,N/A,much_info,reachable,200
United States,group14.technology,Technology and Software Development,500+,No,95,N/A,much_info,reachable,200
United States,gouparty.com,Other,Unknown,No,95,Event Services,much_info,reachable,200
India,fortunechimmizone.com,Professional Services,Unknown,No,95,N/A,much_info,reachable,200
India,avishkaram.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
United States,solnrus.com,Other,Unknown,No,95,Staffing Agency,much_info,reachable,200
India,innovantsolution.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
United Kingdom,green-lawner.com,Other,Unknown,No,20,Undeveloped Domain,unreachable,unreachable,Connection Error
India,hashdt.com,Financial Service,Unknown,No,95,N/A,much_info,reachable,200
India,orderonline.in.net,Technology and Software Development,Unknown,No,20,N/A,unreachable,unreachable,403
India,tetr.org,Education and e-learning,Unknown,No,95,N/A,much_info,reachable,200
United Arab Emirates,almondtcss.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
United Kingdom,merlinhomes.co,Real Estate and Property Management,Unknown,No,90,N/A,no_info,reachable,200
Cambodia,oviovi.io,Other,Unknown,No,15,N/A,no_info,reachable,200
Mexico,christianharvey.london,Other,Unknown,No,88,Media Production Portfolio,little_info,reachable,200
South Africa,capeneto.com,Manufacturing and Industrial,10 to 20,No,85,N/A,unreachable,unreachable,404
United States,rsrkitchen.com,Other,Unknown,No,75,Kitchen and Bath Remodeling,unreachable,unreachable,500
United States,albertosardinas.com,Professional Services,solo,No,95,N/A,unreachable,unreachable,403
Thailand,themccorp.com,Financial Service,Unknown,No,95,N/A,much_info,reachable,200
United States,northpointhospitality.com,Real Estate and Property Management,Unknown,No,95,N/A,much_info,reachable,200
India,sheelafoam.com,Manufacturing and Industrial,500+,No,95,N/A,much_info,reachable,200
India,digitruckdispatchers.com,Logistics and Transportation,Unknown,No,95,N/A,much_info,reachable,200
Philippines,kw.com,Real Estate and Property Management,500+,No,95,N/A,unreachable,unreachable,403
United States,goflow.co.site,Other,Unknown,No,10,N/A,unreachable,unreachable,404
United States,86cannon.com,Other,Unknown,No,95,Hospitality (Boutique Hotel),much_info,reachable,200
United States,topnames.org,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable,200
United States,oceansxyz.com,Professional Services,Unknown,No,95,N/A,much_info,reachable,200
United Kingdom,t4.education,Education and e-learning,Unknown,No,95,N/A,much_info,reachable,200
United States,alselli.co.id,E-commerce and Retail,Unknown,No,95,N/A,much_info,reachable,200
United States,highticketclosers.us,Education and e-learning,Unknown,No,95,N/A,much_info,reachable,200
Canada,wiserteck.com,Financial Service,Unknown,No,95,N/A,much_info,reachable,200
United Arab Emirates,luxinvest.io,Real Estate and Property Management,Unknown,No,85,N/A,little_info,reachable,200
United States,newwavefansmanagement.com,Marketing and Advertising,Unknown,No,70,N/A,no_info,reachable,200
Pakistan,wahyd.com,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
United States,jktech-collabs.com,Other,Unknown,No,10,N/A,no_info,reachable,200
