country,domain,category,company_size,email_provider,confidence,other_industry_category,website,website_status
United States,freesourcecodes.com,Other,Unknown,Yes,90,Email Service Provider,much_info,reachable
India,wsu.university,Education and e-learning,100 to 200,No,98,N/A,much_info,reachable
United Kingdom,joinkula.io,Technology and Software Development,100 to 200,No,95,N/A,unreachable,unreachable
United States,leadsolympia.com,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable
United States,chcnetwork.org,Healthcare,500+,No,95,N/A,much_info,reachable
India,techgropse.com,Technology and Software Development,500+,No,95,N/A,much_info,reachable
United States,teknobit.com,Technology and Software Development,20 to 50,No,90,N/A,much_info,reachable
India,futurebytesolutionsinc.com,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable
South Africa,vernonfroneman.com,Professional Services,solo,No,95,N/A,much_info,reachable
United States,lynchgroup.co,Logistics and Transportation,50 to 100,No,95,N/A,much_info,reachable
United States,seedify.fund,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable
United States,ygrene.vip,Financial Service,500+,No,95,N/A,much_info,reachable
United States,niyousllc.com,Marketing and Advertising,1 to 5,No,90,N/A,unreachable,unreachable
Australia,australandagri.com.au,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable
Canada,passmail.net,Technology and Software Development,500+,No,98,N/A,much_info,reachable
United States,solvpath.com,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable
Armenia,allpara.com,E-commerce and Retail,20 to 50,No,95,N/A,much_info,reachable
India,somakanti.com,E-commerce and Retail,20 to 50,No,95,N/A,much_info,reachable
Spain,hslu.ch,Education and e-learning,500+,No,98,N/A,much_info,reachable
United States,oxmtalent.com,Professional Services,5 to 20,No,90,N/A,unreachable,unreachable
Philippines,outsourceaccelerator.com,Professional Services,50 to 100,No,95,N/A,much_info,reachable
India,numberscraft.com,Professional Services,5 to 20,No,95,N/A,much_info,reachable
Viet Nam,demetergroup.io,Financial Service,20 to 50,No,95,N/A,unreachable,unreachable
United States,pm.me,Technology and Software Development,500+,Yes,98,N/A,much_info,reachable
United States,malobicky.com,Technology and Software Development,solo,No,90,N/A,unreachable,unreachable
Portugal,serenity21.com,Real Estate and Property Management,20 to 50,No,85,N/A,unreachable,unreachable
New Zealand,olympiathelabel.com,E-commerce and Retail,Unknown,No,98,N/A,much_info,reachable
United States,adpatients.co,Technology and Software Development,20 to 50,No,85,N/A,much_info,reachable
Belgium,milakampen.be,Education and e-learning,5 to 20,No,95,N/A,much_info,reachable
India,gsconsulting.in,Professional Services,20 to 50,No,95,N/A,much_info,reachable
India,times.my,Marketing and Advertising,20 to 50,No,95,N/A,much_info,reachable
United States,thecohsalon.com,Other,5 to 20,No,98,Hair Salon / Personal Care Services,much_info,reachable
India,suvitt.com,Manufacturing and Industrial,20 to 50,No,80,N/A,unreachable,unreachable
United States,myequitysolar.com,Other,50 to 100,No,95,Solar Energy Installation,much_info,reachable
South Africa,glowifyleads.com,Marketing and Advertising,20 to 50,No,95,N/A,no_info,reachable
Jordan,qtechnetworks.com,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable
Germany,executive-engineers.com,Professional Services,5 to 20,No,95,N/A,much_info,reachable
United States,alfadhel.net,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable
