country,domain,category,company_size,email_provider,confidence,other_industry_category,website,website_status,website_reason
United States,freesourcecodes.com,Technology and Software Development,solo,No,60,N/A,little_info,reachable,200
India,wsu.university,Education and e-learning,20 to 50,No,95,N/A,much_info,reachable,200
United Kingdom,joinkula.io,Technology and Software Development,1 to 5,No,60,N/A,unreachable,unreachable,403
United States,leadsolympia.com,Marketing and Advertising,solo,No,95,N/A,much_info,reachable,200
United States,chcnetwork.org,Healthcare,200 to 500,No,95,N/A,much_info,reachable,200
India,techgropse.com,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
United States,teknobit.com,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
India,futurebytesolutionsinc.com,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
South Africa,vernonfroneman.com,Professional Services,solo,No,95,N/A,much_info,reachable,200
United States,lynchgroup.co,Logistics and Transportation,50 to 100,No,95,N/A,much_info,reachable,200
United States,seedify.fund,Financial Service,50 to 100,No,95,N/A,much_info,reachable,200
United States,ygrene.vip,Financial Service,1 to 5,No,60,N/A,little_info,reachable,200
United States,niyousllc.com,Professional Services,1 to 5,No,70,N/A,unreachable,unreachable,403
Australia,australandagri.com.au,E-commerce and Retail,1 to 5,No,95,Agriculture Supplies,much_info,reachable,200
Canada,passmail.net,Technology and Software Development,500+,No,100,N/A,much_info,reachable,200
United States,solvpath.com,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
Armenia,allpara.com,Professional Services,1 to 5,No,50,N/A,unreachable,unreachable,402
India,somakanti.com,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
Spain,hslu.ch,Education and e-learning,500+,No,95,N/A,much_info,reachable,200
United States,oxmtalent.com,Professional Services,5 to 20,No,70,Recruitment / Staffing,unreachable,unreachable,404
Philippines,outsourceaccelerator.com,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
India,numberscraft.com,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
Viet Nam,demetergroup.io,Professional Services,50 to 100,No,75,N/A,unreachable,unreachable,Connection Error
United States,pm.me,Technology and Software Development,500+,Yes,95,N/A,much_info,reachable,200
United States,malobicky.com,Other,solo,No,10,N/A,unreachable,unreachable,Exceeded 30 redirects.
Portugal,serenity21.com,Professional Services,1 to 5,No,65,N/A,little_info,reachable,200
New Zealand,olympiathelabel.com,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
United States,adpatients.co,Marketing and Advertising,1 to 5,No,75,N/A,little_info,reachable,200
Belgium,milakampen.be,Education and e-learning,1 to 5,No,95,N/A,much_info,reachable,200
India,gsconsulting.in,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
India,times.my,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
United States,thecohsalon.com,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
India,suvitt.com,Technology and Software Development,50 to 100,No,40,N/A,unreachable,unreachable,Connection Error
United States,myequitysolar.com,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
South Africa,glowifyleads.com,Marketing and Advertising,1 to 5,No,60,N/A,little_info,reachable,200
Jordan,qtechnetworks.com,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
Germany,executive-engineers.com,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
United States,alfadhel.net,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
India,mynachiketa.com,Education and e-learning,1 to 5,No,95,N/A,much_info,reachable,200
India,rpoarena.com,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
France,entrusted.company,Professional Services,1 to 5,No,95,N/A,unreachable,unreachable,Connection Error
India,rfpease.org,Professional Services,solo,No,60,N/A,little_info,reachable,200
India,metrichub.ai,Technology and Software Development,5 to 20,No,75,N/A,unreachable,unreachable,Connection Error
Brazil,tutamail.com,Technology and Software Development,50 to 100,Yes,95,N/A,much_info,reachable,200
India,arrowsolarsolutions.au,Other,1 to 5,No,75,Renewable Energy Services,little_info,reachable,200
India,satsportnews.com,Other,1 to 5,No,60,Sports News and Media,little_info,reachable,200
United Kingdom,boatsy.com,E-commerce and Retail,50 to 100,No,95,Boat Rentals/Travel,much_info,reachable,200
United States,haelanenergy.com,Technology and Software Development,1 to 5,No,20,N/A,unreachable,unreachable,Connection Error
United Kingdom,localhost.international,Technology and Software Development,solo,No,50,N/A,little_info,reachable,200
India,capitalkonect.co.uk,Financial Service,1 to 5,No,95,N/A,much_info,reachable,200
Australia,unitedwecan.com.au,Healthcare,1 to 5,No,95,N/A,much_info,reachable,200
United States,umich.edu,Education and e-learning,500+,No,100,N/A,much_info,unreachable,403
Australia,firebrickpharma.com,Healthcare,5 to 20,No,95,N/A,much_info,reachable,200
United States,hi2.in,Technology and Software Development,solo,Yes,95,N/A,much_info,reachable,200
United States,onebusiness.com,Professional Services,1 to 5,No,50,N/A,little_info,reachable,200
United States,managementc.net,Financial Service,1 to 5,No,95,N/A,much_info,reachable,200
United States,galapagostrading.com,Logistics and Transportation,20 to 50,No,95,N/A,much_info,reachable,200
India,qbim.co.in,Technology and Software Development,solo,No,50,N/A,little_info,reachable,200
India,softment.in,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
Ukraine,alekseyboyko.com,Technology and Software Development,solo,No,45,N/A,unreachable,unreachable,Connection Error
United States,gauermodules.com,Logistics and Transportation,5 to 20,No,95,N/A,much_info,reachable,200
India,kommuniquelearning.com,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
United States,cornell.edu,Education and e-learning,500+,No,100,N/A,much_info,reachable,200
United States,selcedu.com,Education and e-learning,20 to 50,No,95,N/A,much_info,reachable,200
India,infinitysoftsystems.com,Technology and Software Development,200 to 500,No,95,N/A,much_info,reachable,200
United States,snapi.com,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
India,bluehiresolutions.com,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
India,inlogic.in,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
