domain,country,category,company_size,email_provider,confidence,other_industry_category,website,website_status,website_reason
hrops.co.uk,United Kingdom,Professional Services,1 to 5,No,40,Human Resources Consultancy,unreachable,unreachable,Timeout
dudscuapcut.store,United Kingdom,E-commerce and Retail,solo,No,10,N/A,unreachable,unreachable,Connection Error
gmail.com,United States,Technology and Software Development,500+,Yes,100,N/A,little_info,reachable,200
prohade.com,United States,Professional Services,1 to 5,No,40,N/A,unreachable,unreachable,Connection Error
dcpa.net,United States,Technology and Software Development,solo,Yes,95,N/A,much_info,reachable,200
freesourcecodes.com,United States,Technology and Software Development,solo,Yes,75,N/A,little_info,reachable,200
bbsdigitaltrust.site,United States,Logistics and Transportation,solo,No,80,Travel Agency,much_info,reachable,200
111.com,United States,E-commerce and Retail,50 to 100,No,95,N/A,much_info,reachable,200
tangilex.com,United Kingdom,Technology and Software Development,1 to 5,No,60,N/A,unreachable,unreachable,404
dyqbmail.com,Australia,Technology and Software Development,solo,No,70,N/A,unreachable,unreachable,Connection Error
mozmail.com,Turkey,Technology and Software Development,500+,No,95,N/A,much_info,reachable,200
passmail.net,United States,Technology and Software Development,500+,No,95,N/A,much_info,reachable,200
e-record.com,United States,Technology and Software Development,solo,Yes,70,N/A,little_info,reachable,200
itca.com,Egypt,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
dark.house,Greece,Technology and Software Development,1 to 5,No,50,N/A,unreachable,unreachable,403
passgeber.de,Germany,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
optimumexpo.com,United Arab Emirates,Other,solo,No,40,Event Management,no_info,reachable,200
cybersol360.com,Pakistan,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
xperts-global.com,United States,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
ct-glob.com,Canada,Professional Services,1 to 5,No,30,N/A,unreachable,unreachable,Timeout
fury.nu,Romania,Technology and Software Development,solo,No,40,N/A,little_info,reachable,200
ckstaffingaustralia.com,Australia,Professional Services,5 to 20,No,70,N/A,unreachable,unreachable,Connection Error
creedy.shop,United States,Other,solo,No,95,Domain Parking,no_info,reachable,200
aliyasrealestate.ae,United Arab Emirates,Real Estate and Property Management,1 to 5,No,70,N/A,unreachable,unreachable,Timeout
hawkfusion.com,United States,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
weshare.pro,India,E-commerce and Retail,5 to 20,No,95,Travel Agency,much_info,reachable,200
intrface.co.uk,,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
lleumeria.com,Australia,Other,solo,No,0,N/A,unreachable,unreachable,Connection Error
evrasolutions.com,Canada,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
augustaitservices.com,India,Technology and Software Development,100 to 200,No,95,N/A,much_info,reachable,200
thegrowbusiness.in,India,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
wesellrandomshit.com,Nepal,E-commerce and Retail,solo,No,95,N/A,unreachable,unreachable,402
howshelby.com,United States,Technology and Software Development,1 to 5,No,80,N/A,unreachable,unreachable,404
adeccoeu.com,United States,Professional Services,500+,No,60,N/A,little_info,reachable,200
waveitaly.com,Italy,Manufacturing and Industrial,5 to 20,No,95,N/A,much_info,reachable,200
abdi-shop.com,United Kingdom,E-commerce and Retail,solo,No,10,N/A,unreachable,unreachable,Connection Error
mountainmolecules.com,,E-commerce and Retail,20 to 50,No,95,N/A,much_info,reachable,200
forgemedia.online,Senegal,Marketing and Advertising,1 to 5,No,50,N/A,unreachable,unreachable,Connection Error
finplexsolution.com,Sri Lanka,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
bilgiedu.net,Saudi Arabia,Education and e-learning,1 to 5,No,60,N/A,unreachable,unreachable,Connection Error
elmridgecarpentry.com,Qatar,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
noormohamed.net,Kenya,Other,solo,No,95,Personal Blog/Writing,much_info,reachable,200
treppantechnologies.com,Uganda,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
amwa.pro,Tunisia,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
urbantouchinterior.com,United States,Other,solo,No,50,Interior Design,no_info,reachable,200
kozmaandkozma.com,,Other,5 to 20,No,95,Beauty and Personal Care Services,much_info,reachable,200
vistancecapital.com,India,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
infinitesolutionedu.com,India,Education and e-learning,1 to 5,No,70,N/A,little_info,reachable,200
metakraft.org,India,Technology and Software Development,50 to 100,No,20,N/A,unreachable,unreachable,Connection Error
webnetictrendz.com,India,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
digitalmastermedia.com,India,Professional Services,5 to 20,No,95,Lead Generation for Legal and Insurance Sectors,much_info,reachable,200
edbrig.com,India,Technology and Software Development,5 to 20,No,60,N/A,unreachable,unreachable,SSL Error
abinjose.com,United Kingdom,Professional Services,solo,No,95,N/A,much_info,reachable,200
upcounting.com,Canada,Professional Services,20 to 50,No,95,N/A,much_info,reachable,200
afterpeak.io,Italy,Other,20 to 50,No,95,Entertainment and Media,much_info,reachable,200
nexlinx1123231.com,United States,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
spro01.com,United States,Technology and Software Development,solo,No,50,N/A,no_info,reachable,200
craftions.io,Peru,Technology and Software Development,solo,No,50,N/A,little_info,reachable,200
antonio.dk,Denmark,Professional Services,solo,No,50,N/A,unreachable,unreachable,403
mercandosolutions.ch,Switzerland,Technology and Software Development,solo,No,50,N/A,little_info,reachable,200
milologic.com,Nepal,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
tuite.io,Montenegro,Technology and Software Development,1 to 5,No,50,N/A,unreachable,unreachable,Connection Error
zentoramgmt.com,United Kingdom,Professional Services,1 to 5,No,60,N/A,little_info,reachable,200
3nity.group,Canada,Other,5 to 20,No,95,Non-profit / Charity,much_info,reachable,200
jadoinvestments.com,United States,Financial Service,1 to 5,No,60,N/A,little_info,reachable,200
