country,domain,category,company_size,email_provider,confidence,other_industry_category,website,website_status,website_reason
United States,avashost.com,Technology and Software Development,1 to 5,No,75,N/A,unreachable,unreachable,Connection Error
United States,bariswc.com,Technology and Software Development,solo,No,10,N/A,unreachable,unreachable,Connection Error
Germany,europe-machinerygmbh.de,Manufacturing and Industrial,5 to 20,No,70,N/A,unreachable,unreachable,Connection Error
Cambodia,puxah.org,Other,1 to 5,No,75,Non-profit,unreachable,unreachable,Connection Error
India,blackcheriemedia.com,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
Algeria,rograc.com,Technology and Software Development,1 to 5,No,95,N/A,unreachable,unreachable,Connection Error
South Africa,hummels.co.za,Other,5 to 20,No,50,Retail (Apparel/Footwear),little_info,reachable,200
United States,dreamclarify.org,Other,1 to 5,No,60,Non-profit,unreachable,reachable,200
United States,avastu.com,Technology and Software Development,20 to 50,No,75,N/A,unreachable,unreachable,Connection Error
India,researchnester.com,Professional Services,100 to 200,No,95,N/A,much_info,reachable,200
Australia,mailfence.com,Technology and Software Development,20 to 50,Yes,95,N/A,much_info,reachable,200
Canada,unb.ca,Education and e-learning,500+,No,95,N/A,much_info,reachable,200
India,cigidea.com,Technology and Software Development,1 to 5,No,10,N/A,unreachable,unreachable,Connection Error
Cambodia,yogirt.com,Technology and Software Development,solo,Yes,95,N/A,much_info,reachable,200
United States,efacecadmin.us,Technology and Software Development,1 to 5,No,60,N/A,little_info,reachable,200
United States,iab.com,Marketing and Advertising,500+,No,95,N/A,much_info,reachable,200
New Zealand,zayter.com,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
United States,collegevs.edu.pl,Education and e-learning,solo,No,75,N/A,little_info,reachable,200
United States,marchub.com,Technology and Software Development,5 to 20,No,60,N/A,unreachable,unreachable,Connection Error
United States,tuta.io,Technology and Software Development,50 to 100,Yes,95,N/A,much_info,reachable,200
India,3aip.com,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
United States,currently.com,Technology and Software Development,500+,Yes,95,N/A,much_info,reachable,200
United States,cyber-security.lat,Technology and Software Development,1 to 5,No,10,N/A,unreachable,unreachable,Connection Error
United States,owleyes.ch,Technology and Software Development,solo,Yes,95,N/A,little_info,reachable,200
Argentina,jxbav.com,Other,solo,No,70,Adult Entertainment,unreachable,unreachable,Connection Error
United States,gufum.com,Technology and Software Development,1 to 5,No,55,N/A,little_info,reachable,200
Sweden,lindbargsvvs.se,Professional Services,5 to 20,No,50,N/A,unreachable,unreachable,Connection Error
Pakistan,thepoultryexperts.com,Professional Services,1 to 5,No,95,N/A,unreachable,unreachable,Connection Error
France,endibit.com,Technology and Software Development,1 to 5,No,95,N/A,unreachable,unreachable,Connection Error
United States,esterace.com,Technology and Software Development,solo,No,50,N/A,unreachable,unreachable,Connection Error
United States,cironex.com,Technology and Software Development,50 to 100,No,70,N/A,unreachable,unreachable,Connection Error
Philippines,nezdex.com,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
Poland,playfood.com,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
United States,onionmail.org,Technology and Software Development,solo,No,0,N/A,unreachable,unreachable,403
India,noomlocs.com,Technology and Software Development,solo,No,50,N/A,unreachable,unreachable,Connection Error
United States,smg-design.com,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
India,varieza.com,Technology and Software Development,1 to 5,No,70,N/A,unreachable,unreachable,Connection Error
United States,swisd.net,Education and e-learning,500+,No,95,N/A,much_info,reachable,200
